		Fdbk3abc.txt
Wave-Paddle Trajectories
Benchmark Problem 3
Runup of Solitary Waves on a Vertical Wall
Feedback in cm for Cases A, B and C

Time       Case A     Case B     Case C     
266.25      -3.96      11.22      18.96     
266.30      -3.96      11.22      18.96     
266.35      -3.96      11.22      18.96     
266.40      -3.96      11.22      18.96     
266.45      -3.96      11.22      18.96     
266.50      -3.96      11.22      18.96     
266.55      -3.96      11.22      18.96     
266.60      -3.96      11.22      18.93     
266.65      -3.96      11.22      18.93     
266.70      -3.96      11.22      18.93     
266.75      -3.96      11.22      18.93     
266.80      -3.96      11.22      18.93     
266.85      -3.99      11.22      18.93     
266.90      -3.99      11.22      18.93     
266.95      -3.99      11.22      18.93     
267.00      -3.99      11.22      18.93     
267.05      -3.99      11.19      18.93     
267.10      -3.99      11.22      18.93     
267.15      -3.99      11.22      18.96     
267.20      -3.99      11.22      18.93     
267.25      -3.99      11.22      18.93     
267.30      -3.99      11.22      18.93     
267.35      -3.96      11.22      18.93     
267.40      -3.96      11.22      18.96     
267.45      -3.96      11.22      18.96     
267.50      -3.96      11.22      18.96     
267.55      -3.96      11.22      18.96     
267.60      -3.96      11.22      18.96     
267.65      -3.96      11.22      18.96     
267.70      -3.96      11.22      18.96     
267.75      -3.96      11.22      18.96     
267.80      -3.96      11.19      18.96     
267.85      -3.93      11.19      18.96     
267.90      -3.93      11.19      18.96     
267.95      -3.96      11.19      18.96     
268.00      -3.96      11.19      18.96     
