x,T=59
-0.06473,-5e-05
-0.04706,0.04547
-0.03513,0.059
-0.02518,0.07005
-0.01452,0.0766
-0.00453,0.08246
0.04427,0.09221
0.06639,0.08909
0.09596,0.07787
0.11416,0.06393
0.12769,0.04908
0.14554,-0.00045
