x,T=727
-0.00449,0.15273
0.04414,0.18185
0.09548,0.20602
0.14823,0.22275
0.19432,0.23655
0.24713,0.24631
0.29526,0.25561
0.34678,0.2604
0.39832,0.2634
0.44654,0.26256
0.49611,0.26105
0.54236,0.25616
0.5933,0.24992
0.64294,0.2403
0.69328,0.2273
0.74365,0.2116
0.79406,0.19027
0.84319,0.16218
0.8938,0.119
0.94309,-0.00075
