x,T=271
-0.00359,0.12751
0.04035,0.15527
0.09715,0.16976
0.14864,0.17771
0.19616,0.1798
0.24978,0.17424
0.29676,0.16304
0.34716,0.14351
0.39705,0.10529
0.44419,0.00017
