x,Curve
-0.05335,-0.00026
-0.04687,0.02475
-0.035,0.04481
-0.02433,0.05046
-0.01504,0.05993
-0.00505,0.06535
0.02103,0.06988
0.04584,0.06541
0.09665,0.00016
