x,T=486
-0.00374,0.1444
0.04355,0.17239
0.09627,0.19318
0.14502,0.20766
0.19382,0.21718
0.24598,0.22491
0.29486,0.2261
0.34643,0.22527
0.3967,0.2197
0.44499,0.21143
0.49466,0.19844
0.54237,0.18003
0.59616,0.15487
0.64407,0.11372
0.69196,5e-05
