,ch4 x=80m,ch7 x=50m,ch18 x=40m,ch10 x=30.8m,ch20 x=20m,ch23 x=5m
t(s),水位(cm),水位(cm),水位(cm),水位(cm),水位(cm),水位(cm)
128.54,-0.125,0.095,0.187,0.602,0.03,-0.945
128.55,-0.135,0.075,0.177,0.592,0.06,-0.945
128.56,-0.125,0.085,0.187,0.582,0.07,-0.945
128.57,-0.135,0.075,0.187,0.562,0.08,-0.945
128.58,-0.125,0.085,0.177,0.542,0.09,-0.955
128.59,-0.135,0.065,0.167,0.512,0.1,-0.955
128.6,-0.125,0.085,0.167,0.482,0.11,-0.955
128.61,-0.135,0.065,0.167,0.462,0.12,-0.965
128.62,-0.115,0.085,0.167,0.432,0.12,-0.975
128.63,-0.135,0.075,0.147,0.412,0.12,-0.975
128.64,-0.115,0.075,0.137,0.392,0.11,-0.975
128.65,-0.135,0.065,0.117,0.382,0.1,-0.975
128.66,-0.105,0.085,0.107,0.382,0.09,-0.985
128.67,-0.115,0.065,0.087,0.372,0.08,-0.985
128.68,-0.095,0.075,0.077,0.372,0.08,-0.995
128.69,-0.095,0.075,0.057,0.372,0.07,-0.985
128.7,-0.085,0.085,0.047,0.382,0.07,-0.985
128.71,-0.085,0.075,0.037,0.382,0.08,-0.985
128.72,-0.075,0.095,0.027,0.392,0.09,-0.985
128.73,-0.095,0.075,0.027,0.412,0.1,-0.985
128.74,-0.065,0.085,0.027,0.422,0.12,-0.975
128.75,-0.075,0.065,0.017,0.442,0.15,-0.975
128.76,-0.055,0.085,0.027,0.442,0.17,-0.975
128.77,-0.075,0.065,0.027,0.452,0.21,-0.965
128.78,-0.055,0.085,0.037,0.452,0.22,-0.955
128.79,-0.065,0.065,0.047,0.452,0.24,-0.925
128.8,-0.045,0.085,0.077,0.442,0.26,-0.895
128.81,-0.065,0.075,0.097,0.432,0.27,-0.815
128.82,-0.055,0.085,0.117,0.412,0.27,-0.695
128.83,-0.065,0.075,0.147,0.392,0.27,-0.485
128.84,-0.045,0.085,0.167,0.382,0.24,-0.405
128.85,-0.065,0.065,0.187,0.362,0.23,-0.385
128.86,-0.045,0.075,0.217,0.342,0.21,-0.365
128.87,-0.065,0.065,0.227,0.322,0.17,-0.355
128.88,-0.045,0.075,0.257,0.302,0.15,-0.365
128.89,-0.065,0.055,0.257,0.292,0.11,-0.375
128.9,-0.045,0.075,0.287,0.262,0.07,-0.405
128.91,-0.065,0.065,0.287,0.242,0.05,-0.425
128.92,-0.045,0.075,0.297,0.232,0.01,-0.435
128.93,-0.065,0.065,0.287,0.222,0,-0.435
128.94,-0.045,0.075,0.287,0.212,-0.04,-0.385
128.95,-0.065,0.065,0.287,0.212,-0.05,-0.365
128.96,-0.055,0.075,0.287,0.212,-0.08,-0.355
128.97,-0.075,0.075,0.277,0.222,-0.08,-0.345
128.98,-0.055,0.085,0.277,0.232,-0.08,-0.345
128.99,-0.085,0.075,0.257,0.252,-0.08,-0.335
129,-0.065,0.095,0.247,0.262,-0.06,-0.345
129.01,-0.085,0.095,0.227,0.282,-0.06,-0.345
129.02,-0.075,0.115,0.217,0.302,-0.05,-0.335
129.03,-0.095,0.105,0.177,0.322,-0.05,-0.335
129.04,-0.075,0.115,0.167,0.342,-0.04,-0.335
129.05,-0.105,0.105,0.137,0.362,-0.03,-0.325
129.06,-0.085,0.115,0.127,0.382,-0.04,-0.315
129.07,-0.105,0.105,0.107,0.402,-0.01,-0.285
129.08,-0.095,0.115,0.097,0.422,-0.01,-0.275
129.09,-0.115,0.095,0.077,0.442,-0.03,-0.225
129.1,-0.105,0.115,0.077,0.462,-0.01,-0.215
129.11,-0.115,0.095,0.057,0.482,-0.01,-0.195
129.12,-0.105,0.105,0.057,0.482,-0.01,-0.175
129.13,-0.115,0.095,0.057,0.492,-0.01,-0.155
129.14,-0.105,0.105,0.057,0.492,0,-0.155
129.15,-0.115,0.085,0.057,0.492,0.01,-0.145
129.16,-0.095,0.095,0.057,0.482,0.02,-0.145
129.17,-0.115,0.085,0.057,0.472,0.03,-0.155
129.18,-0.095,0.095,0.067,0.452,0.05,-0.155
129.19,-0.115,0.075,0.077,0.442,0.06,-0.155
129.2,-0.095,0.095,0.087,0.412,0.07,-0.165
129.21,-0.105,0.085,0.087,0.392,0.08,-0.165
129.22,-0.085,0.095,0.107,0.372,0.1,-0.165
129.23,-0.105,0.085,0.107,0.342,0.11,-0.165
129.24,-0.085,0.105,0.117,0.322,0.13,-0.175
129.25,-0.105,0.095,0.117,0.302,0.16,-0.175
129.26,-0.085,0.115,0.117,0.282,0.17,-0.175
129.27,-0.095,0.115,0.127,0.262,0.19,-0.175
129.28,-0.085,0.115,0.117,0.252,0.22,-0.175
129.29,-0.095,0.115,0.117,0.242,0.23,-0.175
129.3,-0.075,0.145,0.127,0.232,0.24,-0.185
129.31,-0.085,0.135,0.117,0.242,0.26,-0.185
129.32,-0.055,0.155,0.117,0.252,0.26,-0.185
129.33,-0.075,0.145,0.117,0.262,0.24,-0.185
129.34,-0.045,0.155,0.117,0.292,0.24,-0.195
129.35,-0.055,0.135,0.117,0.322,0.24,-0.195
129.36,-0.035,0.155,0.127,0.342,0.23,-0.195
129.37,-0.045,0.145,0.127,0.372,0.22,-0.185
129.38,-0.015,0.155,0.137,0.382,0.22,-0.185
129.39,-0.035,0.135,0.137,0.412,0.22,-0.185
129.4,-0.015,0.145,0.157,0.442,0.22,-0.195
129.41,-0.035,0.135,0.157,0.462,0.21,-0.195
129.42,-0.015,0.145,0.167,0.472,0.19,-0.195
129.43,-0.035,0.115,0.167,0.492,0.18,-0.205
129.44,-0.015,0.115,0.167,0.492,0.17,-0.205
129.45,-0.025,0.115,0.177,0.492,0.16,-0.205
129.46,-0.005,0.115,0.177,0.482,0.15,-0.215
129.47,-0.015,0.095,0.177,0.462,0.12,-0.205
129.48,-0.005,0.095,0.177,0.442,0.1,-0.205
129.49,-0.015,0.075,0.167,0.412,0.09,-0.205
129.5,-0.005,0.075,0.177,0.382,0.08,-0.195
129.51,-0.015,0.055,0.167,0.362,0.07,-0.195
129.52,-0.005,0.065,0.167,0.322,0.06,-0.195
129.53,-0.015,0.045,0.167,0.302,0.06,-0.195
129.54,-0.005,0.055,0.177,0.272,0.05,-0.195
129.55,-0.015,0.045,0.157,0.252,0.05,-0.195
