,ch4 x=80m,ch7 x=50m,ch18 x=40m,ch10 x=30.8m,ch20 x=20m,ch23 x=5m
t(s),水位(cm),水位(cm),水位(cm),水位(cm),水位(cm),水位(cm)
0,-0.005,-0.015,-0.003,0.002,0,-0.015
0.01,-0.005,-0.025,-0.013,0.002,0,-0.015
0.02,-0.005,-0.015,-0.003,0.002,0,-0.015
0.03,-0.015,-0.025,-0.013,0.002,-0.01,-0.015
0.04,-0.005,-0.025,-0.003,0.002,0,-0.015
0.05,-0.015,-0.025,-0.013,0.002,0,-0.005
0.06,-0.005,-0.015,-0.003,0.002,-0.01,-0.015
0.07,-0.005,-0.025,-0.013,0.002,0,-0.005
0.08,0.005,-0.015,-0.003,0.002,0,-0.005
0.09,-0.005,-0.025,-0.013,0.002,0,-0.005
0.1,-0.005,-0.015,-0.003,-0.008,0,-0.015
0.11,-0.015,-0.025,-0.013,0.002,0,-0.005
0.12,0.005,-0.015,-0.003,0.002,0,-0.015
0.13,-0.015,-0.025,-0.013,0.002,0,-0.015
0.14,0.005,-0.015,-0.003,0.002,0,-0.015
0.15,-0.015,-0.025,-0.013,0.002,0,-0.015
0.16,0.005,-0.015,-0.003,0.002,0,-0.015
0.17,-0.005,-0.025,-0.013,0.002,0.01,-0.015
0.18,0.005,-0.015,-0.013,0.002,0,-0.015
0.19,-0.005,-0.025,-0.013,0.002,0,-0.015
0.2,0.005,-0.015,-0.013,0.002,0,-0.015
0.21,-0.005,-0.025,-0.013,0.002,0,-0.015
0.22,0.005,-0.015,-0.013,0.002,0,-0.015
0.23,-0.005,-0.025,-0.013,0.012,0,-0.005
0.24,0.005,-0.015,-0.003,0.012,0,-0.015
0.25,-0.005,-0.025,-0.013,0.012,0,-0.005
0.26,0.005,-0.015,-0.003,0.002,0,-0.015
0.27,-0.005,-0.025,-0.013,0.002,0,-0.015
0.28,0.005,-0.015,-0.003,0.002,0,-0.015
0.29,-0.005,-0.025,-0.013,0.002,0.01,-0.015
0.3,0.005,-0.015,-0.003,0.002,0,-0.015
0.31,-0.005,-0.025,-0.013,0.002,0,-0.015
0.32,0.005,-0.015,-0.003,0.002,0,-0.015
0.33,-0.005,-0.025,-0.013,0.002,0.01,-0.015
0.34,0.005,-0.015,-0.003,0.002,0,-0.015
0.35,-0.005,-0.025,-0.013,0.002,0,-0.015
0.36,0.005,-0.015,-0.003,0.002,-0.01,-0.015
0.37,-0.005,-0.025,-0.013,0.002,0,-0.015
0.38,0.005,-0.015,-0.003,0.002,0,-0.015
0.39,-0.005,-0.015,-0.013,0.002,0,-0.005
0.4,0.005,-0.015,-0.003,0.002,0,-0.015
0.41,0.005,-0.025,-0.013,0.002,0,-0.005
0.42,0.005,-0.005,-0.003,-0.008,0,-0.015
0.43,-0.005,-0.025,-0.013,0.002,0,-0.015
0.44,0.005,-0.015,-0.003,0.002,0,-0.015
0.45,-0.005,-0.025,-0.013,0.002,-0.01,-0.015
0.46,0.005,-0.015,-0.003,0.002,0,-0.015
0.47,-0.005,-0.025,-0.013,0.002,0,-0.015
0.48,0.005,-0.005,-0.003,0.002,-0.01,-0.015
0.49,-0.005,-0.025,-0.013,0.002,0,-0.015
0.5,0.005,-0.005,-0.003,0.002,-0.01,-0.015
0.51,-0.015,-0.025,-0.013,0.002,-0.01,-0.015
0.52,0.005,-0.005,-0.003,0.002,-0.01,-0.015
0.53,0.005,-0.015,-0.013,0.002,-0.01,-0.015
0.54,0.005,-0.005,-0.003,0.002,-0.01,-0.015
0.55,0.005,-0.015,-0.013,0.002,0,-0.015
0.56,0.005,-0.005,-0.003,0.002,0,-0.015
0.57,0.005,-0.025,-0.013,0.002,0,-0.015
0.58,0.005,-0.005,-0.003,0.002,-0.01,-0.015
0.59,-0.005,-0.015,-0.013,0.002,-0.01,-0.015
0.6,0.005,-0.015,-0.003,0.002,-0.01,-0.015
0.61,-0.005,-0.025,-0.013,0.002,0,-0.015
0.62,0.005,-0.015,-0.003,0.002,-0.01,-0.015
0.63,-0.005,-0.025,-0.013,0.012,0,-0.015
0.64,0.005,-0.005,-0.003,0.002,0,-0.015
0.65,-0.005,-0.025,-0.013,0.002,0,-0.015
0.66,0.005,-0.015,-0.013,0.002,-0.01,-0.015
0.67,-0.005,-0.025,-0.013,0.002,0,-0.015
0.68,0.005,-0.015,-0.003,0.002,-0.01,-0.015
0.69,0.005,-0.025,-0.013,0.012,0,-0.015
0.7,0.015,-0.015,-0.003,0.002,0,-0.015
0.71,-0.005,-0.025,-0.003,0.002,0,-0.005
0.72,0.015,-0.025,-0.003,0.002,-0.01,-0.015
0.73,-0.005,-0.025,-0.013,0.012,0,-0.005
0.74,0.005,-0.015,-0.003,0.002,-0.01,-0.015
0.75,-0.005,-0.025,-0.013,0.002,-0.01,-0.015
0.76,0.005,-0.015,-0.003,-0.008,0,-0.015
0.77,-0.005,-0.025,-0.013,0.002,-0.01,-0.015
0.78,0.005,-0.005,-0.003,-0.008,0,-0.015
0.79,-0.005,-0.025,-0.013,0.002,0,-0.015
0.8,0.005,-0.025,-0.003,-0.008,0,-0.015
0.81,-0.005,-0.025,-0.013,0.012,0,-0.015
0.82,0.005,-0.015,-0.003,0.002,-0.01,-0.015
0.83,-0.015,-0.025,-0.013,0.002,0,-0.015
0.84,0.005,-0.025,-0.013,0.002,-0.01,-0.015
0.85,-0.005,-0.025,-0.013,0.002,0,-0.005
0.86,0.005,-0.015,-0.003,0.012,0,-0.015
0.87,-0.005,-0.025,-0.013,0.012,0,-0.005
0.88,0.005,-0.015,-0.013,0.002,0,-0.015
0.89,-0.005,-0.025,-0.013,0.012,0,-0.005
0.9,0.005,-0.025,-0.013,0.012,0,-0.015
0.91,-0.005,-0.015,-0.013,0.012,0,-0.015
0.92,0.005,-0.005,-0.003,0.012,0,-0.015
0.93,-0.005,-0.025,-0.013,0.002,0,-0.015
0.94,-0.005,-0.015,-0.003,0.002,0,-0.015
0.95,-0.005,-0.025,-0.013,0.012,0,-0.015
0.96,-0.005,-0.015,-0.003,0.002,0,-0.015
0.97,-0.005,-0.025,-0.003,0.002,-0.01,-0.015
0.98,0.005,-0.005,-0.003,0.002,-0.01,-0.015
0.99,-0.005,-0.035,-0.013,0.002,0,-0.005
1,0.005,-0.025,-0.013,0.002,0,-0.015
1.01,0.005,-0.035,-0.003,0.002,-0.01,-0.005
1.02,0.005,-0.025,-0.003,0.012,0,-0.015
1.03,-0.005,-0.025,-0.013,0.012,0,-0.005
1.04,0.005,-0.015,-0.013,0.002,0,-0.015
1.05,-0.005,-0.025,-0.013,0.002,0,-0.005
1.06,0.005,-0.015,-0.003,0.002,0,-0.015
1.07,-0.005,-0.025,-0.013,0.002,0,-0.015
1.08,0.005,-0.015,-0.003,0.002,0,-0.015
1.09,-0.005,-0.025,-0.003,0.002,0,-0.015
1.1,0.005,-0.015,-0.003,0.002,0,-0.015
1.11,-0.005,-0.025,-0.013,0.002,0,-0.015
1.12,0.005,-0.015,-0.013,0.002,0,-0.015
1.13,-0.005,-0.025,-0.013,0.002,0,-0.015
1.14,0.005,-0.015,-0.003,0.002,0,-0.015
1.15,-0.005,-0.025,-0.003,0.002,0,-0.015
1.16,0.005,-0.015,-0.003,0.002,0,-0.015
1.17,-0.005,-0.025,-0.013,0.002,0,-0.005
1.18,0.015,-0.025,-0.003,0.002,0,-0.005
1.19,-0.005,-0.035,-0.013,0.012,0,-0.005
1.2,0.005,-0.015,-0.013,0.002,-0.01,-0.015
1.21,-0.005,-0.025,-0.013,0.002,-0.01,-0.005
1.22,0.005,-0.025,-0.003,0.002,0,-0.015
1.23,-0.005,-0.025,-0.013,0.002,0,-0.015
1.24,0.005,-0.015,-0.003,0.002,0,-0.015
1.25,-0.005,-0.025,-0.003,0.012,0,-0.015
1.26,0.005,-0.015,-0.013,0.002,0,-0.015
1.27,-0.005,-0.025,-0.003,0.002,0,-0.015
1.28,0.005,-0.015,-0.003,0.002,0,-0.015
1.29,-0.005,-0.025,-0.013,0.002,0,-0.015
1.3,0.005,-0.025,-0.003,0.002,0,-0.015
1.31,-0.005,-0.025,-0.013,0.002,0,-0.015
1.32,0.005,-0.015,-0.013,0.002,0,-0.015
1.33,0.005,-0.025,-0.013,0.012,0,-0.005
1.34,0.005,-0.025,-0.003,0.002,0,-0.015
1.35,0.005,-0.035,-0.013,0.012,0,-0.005
1.36,0.005,-0.025,-0.003,0.002,-0.01,-0.015
1.37,-0.005,-0.025,-0.013,0.002,-0.01,-0.005
1.38,-0.005,-0.015,-0.003,0.002,-0.01,-0.015
1.39,-0.005,-0.025,-0.013,0.012,0,-0.005
1.4,0.005,-0.015,-0.003,0.012,0,-0.015
1.41,-0.005,-0.025,-0.013,0.012,0,-0.015
1.42,0.005,-0.025,-0.003,0.002,0,-0.015
1.43,-0.005,-0.025,-0.013,0.012,0,-0.015
1.44,0.005,-0.025,-0.013,0.012,-0.01,-0.015
1.45,-0.005,-0.035,-0.013,0.002,0,-0.015
1.46,0.005,-0.015,-0.003,0.002,0,-0.015
1.47,-0.005,-0.025,-0.013,0.002,0,-0.005
1.48,0.015,-0.015,-0.003,0.002,0,-0.005
1.49,0.005,-0.025,-0.013,0.002,-0.01,-0.005
1.5,0.005,-0.025,-0.003,0.002,0,-0.005
1.51,-0.005,-0.025,-0.013,0.002,0,-0.005
1.52,0.005,-0.015,-0.003,0.002,-0.01,-0.015
1.53,-0.005,-0.025,-0.013,0.002,0,-0.005
1.54,0.005,-0.015,-0.003,0.002,0,-0.005
1.55,-0.005,-0.025,-0.013,0.002,0,-0.005
1.56,0.005,-0.015,-0.003,0.002,0,-0.015
1.57,-0.005,-0.025,-0.013,0.002,0,-0.015
1.58,0.005,-0.025,-0.003,0.002,0,-0.015
1.59,-0.005,-0.025,-0.013,0.002,0,-0.015
1.6,0.005,-0.015,-0.003,0.002,0,-0.015
1.61,-0.005,-0.025,-0.013,0.002,0,-0.015
1.62,0.005,-0.015,-0.003,0.002,0,-0.015
1.63,0.005,-0.025,-0.003,0.002,0,-0.005
1.64,0.005,-0.015,-0.003,0.002,-0.01,-0.015
1.65,0.005,-0.025,-0.013,0.002,0,-0.005
1.66,0.005,-0.025,-0.003,0.002,0,-0.015
1.67,-0.005,-0.035,-0.013,0.002,0,-0.005
1.68,0.005,-0.025,-0.003,0.002,0,-0.015
1.69,-0.005,-0.025,-0.013,0.002,0,-0.015
1.7,0.005,-0.005,-0.003,0.002,0,-0.015
1.71,-0.005,-0.015,-0.013,0.002,0.01,-0.005
1.72,0.005,-0.005,-0.003,0.002,0,-0.015
1.73,-0.005,-0.025,-0.013,0.002,0,-0.015
1.74,0.005,-0.005,-0.003,0.002,0,-0.015
1.75,-0.005,-0.025,-0.013,0.002,0,-0.015
1.76,0.005,-0.005,-0.003,0.002,0,-0.015
1.77,-0.005,-0.015,-0.013,0.002,0,-0.015
1.78,0.005,-0.005,-0.003,0.002,0,-0.015
1.79,-0.005,-0.025,-0.013,0.002,0,-0.005
1.8,0.005,-0.015,-0.003,0.002,0,-0.005
1.81,0.005,-0.025,-0.013,0.002,0,-0.005
1.82,0.005,-0.005,-0.003,0.002,0,-0.005
1.83,-0.005,-0.035,-0.013,0.002,0,-0.005
1.84,0.005,-0.015,-0.003,0.002,0,-0.005
1.85,-0.005,-0.025,-0.013,0.002,0,-0.015
1.86,-0.005,-0.015,-0.003,0.002,0,-0.015
1.87,-0.005,-0.025,-0.013,0.002,0,-0.015
1.88,-0.005,-0.025,-0.003,0.002,0,-0.015
1.89,-0.005,-0.025,-0.013,0.002,0,-0.015
1.9,0.005,-0.015,-0.003,0.002,0,-0.015
1.91,-0.005,-0.025,-0.013,0.002,0,-0.015
1.92,0.005,-0.015,-0.013,0.002,-0.01,-0.015
1.93,-0.005,-0.025,-0.013,0.002,0,-0.015
1.94,0.005,-0.005,-0.003,0.002,-0.01,-0.015
1.95,0.005,-0.035,-0.013,0.002,0,-0.005
1.96,0.005,-0.005,-0.003,0.002,-0.01,-0.005
1.97,-0.005,-0.015,-0.013,0.012,0,-0.005
1.98,0.005,-0.015,-0.003,0.002,-0.01,-0.005
1.99,-0.005,-0.025,-0.013,0.002,0,-0.005
2,0.005,-0.015,-0.013,0.002,0,-0.005
2.01,-0.005,-0.025,-0.013,0.002,0,-0.005
2.02,0.005,-0.005,-0.003,0.002,0,-0.005
2.03,-0.005,-0.015,-0.013,0.002,0,-0.005
2.04,0.005,-0.015,-0.003,0.002,0,-0.005
2.05,-0.005,-0.025,-0.013,0.002,0,-0.005
2.06,0.005,-0.015,-0.003,0.002,0,-0.015
2.07,-0.005,-0.025,-0.013,0.002,0,-0.015
2.08,0.005,-0.015,-0.013,0.002,0,-0.015
2.09,-0.005,-0.025,-0.013,0.002,0,-0.015
2.1,0.005,-0.015,-0.003,0.002,0,-0.015
2.11,0.005,-0.025,-0.013,0.002,0,-0.005
2.12,0.005,-0.015,-0.003,0.002,0,-0.015
2.13,-0.005,-0.025,-0.013,0.002,0,-0.005
2.14,0.005,-0.015,-0.013,0.002,0,-0.015
2.15,-0.005,-0.025,-0.013,0.002,-0.01,-0.005
2.16,0.005,-0.015,-0.003,0.002,0,-0.015
2.17,-0.015,-0.025,-0.013,0.002,0,-0.005
2.18,0.005,-0.015,-0.013,0.002,0,-0.015
2.19,-0.005,-0.025,-0.003,0.002,0,-0.005
2.2,0.005,-0.015,-0.003,0.002,0,-0.015
2.21,-0.005,-0.025,-0.013,0.002,0,-0.015
2.22,0.005,-0.015,-0.003,0.002,0,-0.015
2.23,-0.005,-0.025,-0.013,-0.008,0,-0.015
2.24,0.005,-0.015,-0.003,0.002,-0.01,-0.015
2.25,-0.005,-0.025,-0.013,-0.008,0,-0.005
2.26,0.005,-0.015,-0.003,-0.008,0,-0.015
2.27,-0.005,-0.025,-0.013,-0.008,0,-0.015
2.28,0.005,-0.015,-0.013,-0.008,0,-0.015
2.29,-0.005,-0.025,-0.013,-0.008,-0.01,-0.005
2.3,0.005,-0.015,-0.003,0.002,-0.01,-0.015
2.31,-0.005,-0.025,-0.013,0.002,-0.01,-0.005
2.32,0.005,-0.015,-0.003,-0.008,-0.01,-0.015
2.33,-0.005,-0.025,-0.003,-0.008,0,-0.005
2.34,0.005,-0.015,-0.003,-0.008,0,-0.015
2.35,-0.005,-0.025,-0.013,0.012,0,-0.015
2.36,0.005,-0.015,-0.013,0.002,0,-0.015
2.37,-0.005,-0.025,-0.013,0.002,0,-0.005
2.38,0.005,-0.015,-0.003,0.002,-0.01,-0.015
2.39,-0.005,-0.025,-0.013,0.002,0,-0.015
2.4,0.005,-0.015,-0.013,0.002,0,-0.015
2.41,-0.005,-0.025,-0.003,0.012,-0.01,-0.005
2.42,0.005,-0.015,-0.013,0.002,0,-0.015
2.43,-0.005,-0.025,-0.013,0.002,-0.01,-0.005
2.44,0.005,-0.015,-0.003,0.002,0,-0.015
2.45,-0.005,-0.025,-0.013,0.002,0,-0.005
2.46,0.005,-0.005,-0.003,0.002,-0.01,-0.005
2.47,-0.005,-0.025,-0.003,0.002,-0.01,-0.005
2.48,0.005,-0.015,-0.003,0.002,-0.01,-0.015
2.49,-0.005,-0.025,-0.013,0.002,0,-0.005
2.5,0.005,-0.015,-0.003,0.002,0,-0.005
2.51,-0.005,-0.025,-0.013,0.002,0,-0.005
2.52,0.005,-0.015,-0.003,0.002,-0.01,-0.015
2.53,-0.005,-0.025,-0.013,0.002,-0.01,-0.005
2.54,0.005,-0.015,-0.013,0.002,-0.01,-0.015
2.55,-0.005,-0.025,-0.013,0.002,0,-0.015
2.56,0.005,-0.015,-0.013,0.002,-0.01,-0.015
2.57,-0.005,-0.025,-0.013,0.002,0,-0.005
2.58,0.005,-0.015,-0.003,0.002,0,-0.005
2.59,-0.005,-0.025,-0.013,0.002,-0.01,-0.005
2.6,0.005,-0.015,-0.003,0.002,-0.01,-0.005
2.61,-0.005,-0.025,-0.013,0.002,-0.01,-0.005
2.62,0.005,-0.015,-0.003,0.002,-0.01,-0.005
2.63,-0.015,-0.025,-0.013,0.002,0,-0.005
2.64,0.005,-0.015,-0.013,0.002,0,-0.005
2.65,-0.005,-0.025,-0.013,0.012,0,-0.005
2.66,0.005,-0.015,-0.003,0.002,0,-0.005
2.67,-0.005,-0.025,-0.013,0.012,0,-0.005
2.68,0.005,-0.015,-0.003,0.002,0,-0.005
2.69,-0.005,-0.025,-0.013,0.002,0,-0.005
2.7,0.005,-0.025,-0.003,0.002,-0.01,-0.005
2.71,-0.005,-0.025,-0.013,0.012,0,-0.005
2.72,0.005,-0.025,-0.013,0.002,0,-0.005
2.73,-0.005,-0.025,-0.013,0.012,0,-0.005
2.74,0.005,-0.015,-0.003,0.002,0,-0.005
2.75,-0.005,-0.025,-0.013,0.012,0,-0.005
2.76,0.005,-0.015,-0.003,0.002,-0.01,-0.005
2.77,-0.005,-0.025,-0.013,0.002,-0.01,-0.005
2.78,-0.005,-0.015,-0.003,0.002,-0.01,-0.005
2.79,-0.005,-0.025,-0.013,0.002,0,-0.005
2.8,-0.005,-0.015,-0.013,0.002,0,-0.005
2.81,-0.015,-0.015,-0.013,0.012,0,-0.005
2.82,0.005,-0.005,-0.003,0.012,0,-0.005
2.83,-0.005,-0.025,-0.013,0.012,0.01,-0.005
2.84,0.005,-0.015,-0.003,0.002,0,-0.005
2.85,-0.005,-0.025,-0.013,0.002,0,-0.005
2.86,0.005,-0.015,-0.013,0.002,0,-0.005
2.87,-0.005,-0.025,-0.013,0.002,0,-0.005
2.88,0.005,-0.025,-0.003,0.002,0,-0.005
2.89,-0.015,-0.025,-0.003,0.002,0,-0.005
2.9,0.005,-0.015,-0.003,0.002,-0.01,-0.005
2.91,-0.015,-0.025,-0.013,0.002,0,-0.005
2.92,-0.005,-0.015,-0.003,0.002,0,-0.005
2.93,-0.015,-0.025,-0.013,0.002,0,-0.005
2.94,-0.005,-0.015,-0.003,0.002,-0.01,-0.005
2.95,-0.015,-0.025,-0.013,0.002,-0.01,-0.005
2.96,-0.005,-0.005,-0.003,0.002,0,-0.005
2.97,-0.005,-0.025,-0.013,0.002,0,-0.005
2.98,0.005,-0.015,-0.003,0.002,-0.01,-0.005
2.99,-0.005,-0.025,-0.013,0.002,-0.01,-0.005
3,0.005,-0.015,-0.003,0.002,-0.01,-0.005
3.01,-0.015,-0.025,-0.013,0.002,-0.01,-0.015
3.02,0.005,-0.015,-0.003,0.002,-0.01,-0.015
3.03,-0.015,-0.025,-0.013,0.002,-0.01,-0.005
3.04,-0.005,-0.015,-0.003,0.002,-0.01,-0.005
3.05,-0.015,-0.025,-0.013,0.002,-0.01,-0.005
3.06,-0.005,-0.015,-0.003,-0.008,-0.01,-0.005
3.07,-0.015,-0.025,-0.013,-0.008,-0.01,-0.015
3.08,-0.005,-0.015,-0.013,0.002,-0.01,-0.005
3.09,-0.015,-0.025,-0.013,0.002,-0.01,-0.005
3.1,-0.005,-0.015,-0.003,-0.008,-0.01,-0.015
3.11,-0.025,-0.025,-0.013,0.002,-0.01,-0.005
3.12,0.005,-0.015,-0.013,0.002,-0.01,-0.005
3.13,-0.015,-0.025,-0.013,0.002,0,-0.005
3.14,0.005,-0.015,-0.003,0.002,0,-0.015
3.15,-0.015,-0.025,-0.013,0.002,0,-0.015
3.16,-0.005,-0.015,-0.013,0.002,-0.01,-0.015
3.17,-0.005,-0.025,-0.013,0.002,0,-0.015
3.18,-0.005,-0.025,-0.013,-0.008,-0.01,-0.015
3.19,-0.015,-0.025,-0.013,0.002,-0.01,-0.015
3.2,-0.005,-0.015,-0.013,0.002,-0.01,-0.015
3.21,-0.015,-0.025,-0.013,0.002,-0.01,-0.005
3.22,-0.005,-0.015,-0.013,0.002,-0.01,-0.015
3.23,-0.015,-0.025,-0.013,0.002,-0.01,-0.005
3.24,-0.005,-0.015,-0.013,0.002,-0.01,-0.005
3.25,-0.015,-0.025,-0.013,0.002,-0.01,-0.005
3.26,-0.005,-0.015,-0.013,0.002,0,-0.005
3.27,-0.015,-0.025,-0.013,0.002,0,-0.005
3.28,0.005,-0.015,-0.013,0.002,0,-0.015
3.29,-0.015,-0.025,-0.013,0.002,0,-0.005
3.3,0.005,-0.015,-0.013,0.002,0,-0.015
3.31,-0.015,-0.035,-0.013,0.002,0,-0.015
3.32,-0.005,-0.025,-0.003,0.002,0,-0.015
3.33,-0.015,-0.025,-0.013,0.002,0,-0.015
3.34,-0.005,-0.015,-0.013,-0.008,-0.01,-0.015
3.35,-0.025,-0.025,-0.013,0.002,0,-0.015
3.36,-0.005,-0.015,-0.013,0.002,-0.01,-0.015
3.37,-0.015,-0.035,-0.013,0.002,-0.01,-0.015
3.38,-0.005,-0.025,-0.013,0.002,0,-0.015
3.39,-0.015,-0.025,-0.013,0.002,0,-0.015
3.4,-0.005,-0.015,-0.013,0.002,-0.01,-0.015
3.41,-0.025,-0.045,-0.013,0.002,0,-0.005
3.42,-0.005,-0.015,-0.013,0.002,-0.01,-0.015
3.43,-0.025,-0.035,-0.013,0.002,0,-0.015
3.44,-0.005,-0.025,-0.013,0.002,0,-0.015
3.45,-0.015,-0.035,-0.013,-0.008,0,-0.015
3.46,0.005,-0.025,-0.003,0.002,0,-0.015
3.47,-0.015,-0.035,-0.013,0.002,0,-0.015
3.48,-0.005,-0.035,-0.003,0.002,-0.01,-0.015
3.49,-0.015,-0.035,-0.013,-0.008,0,-0.015
3.5,-0.005,-0.025,-0.013,0.002,0,-0.015
3.51,-0.025,-0.045,-0.013,0.002,-0.01,-0.015
3.52,-0.005,-0.025,-0.013,0.002,-0.01,-0.015
3.53,-0.015,-0.045,-0.003,0.002,0,-0.015
3.54,-0.005,-0.025,-0.013,0.002,-0.01,-0.015
3.55,-0.025,-0.035,-0.013,0.002,0,-0.005
3.56,-0.005,-0.025,-0.013,0.002,0,-0.015
3.57,-0.025,-0.045,-0.013,-0.008,-0.01,-0.005
3.58,-0.005,-0.035,-0.013,0.002,0,-0.015
3.59,-0.025,-0.035,-0.013,0.002,-0.01,-0.005
3.6,-0.005,-0.025,-0.003,0.002,-0.01,-0.015
3.61,-0.015,-0.035,-0.013,0.002,0.01,-0.005
3.62,-0.005,-0.025,-0.013,-0.008,0,-0.015
3.63,-0.025,-0.045,-0.013,0.002,0,-0.015
3.64,-0.005,-0.035,-0.013,0.002,-0.01,-0.015
3.65,-0.025,-0.045,-0.013,-0.008,-0.01,-0.015
3.66,-0.015,-0.025,-0.013,-0.008,0,-0.015
3.67,-0.025,-0.045,-0.013,0.002,0,-0.015
3.68,-0.005,-0.025,-0.013,0.002,0,-0.015
3.69,-0.015,-0.035,-0.013,0.002,0,-0.015
3.7,-0.005,-0.025,-0.013,-0.008,0,-0.015
3.71,-0.025,-0.035,-0.013,-0.008,-0.01,-0.005
3.72,-0.005,-0.025,-0.013,-0.008,-0.01,-0.015
3.73,-0.015,-0.035,-0.013,0.002,-0.01,-0.005
3.74,-0.005,-0.025,-0.013,0.002,-0.01,-0.015
3.75,-0.015,-0.035,-0.013,0.002,0.01,-0.015
3.76,0.005,-0.025,-0.013,0.002,0,-0.015
3.77,-0.015,-0.035,-0.013,0.012,0,-0.005
3.78,-0.005,-0.025,-0.013,0.012,0,-0.015
3.79,-0.015,-0.035,-0.013,0.002,-0.01,-0.015
3.8,0.005,-0.025,-0.013,0.002,-0.01,-0.015
3.81,-0.015,-0.035,-0.013,0.012,-0.01,-0.015
3.82,-0.005,-0.025,-0.013,0.002,-0.01,-0.015
3.83,-0.015,-0.035,-0.013,0.002,-0.01,-0.015
3.84,-0.005,-0.025,-0.013,0.002,-0.01,-0.015
3.85,-0.015,-0.035,-0.013,0.002,-0.01,-0.015
3.86,-0.005,-0.025,-0.013,0.002,-0.01,-0.015
3.87,-0.015,-0.025,-0.013,0.002,-0.01,-0.005
3.88,-0.005,-0.025,-0.013,-0.008,-0.01,-0.015
3.89,-0.015,-0.025,-0.013,0.002,-0.01,-0.015
3.9,0.005,-0.025,-0.013,0.002,-0.01,-0.015
3.91,-0.015,-0.025,-0.013,0.002,-0.01,-0.015
3.92,0.005,-0.015,-0.013,-0.008,0,-0.015
3.93,-0.005,-0.025,-0.013,0.002,0,-0.015
3.94,0.005,-0.015,-0.013,-0.008,0,-0.015
3.95,-0.015,-0.025,-0.013,-0.008,-0.01,-0.015
3.96,-0.005,-0.025,-0.013,-0.008,-0.01,-0.015
3.97,-0.015,-0.035,-0.013,-0.008,-0.01,-0.015
3.98,-0.005,-0.025,-0.013,-0.008,-0.01,-0.015
3.99,-0.015,-0.035,-0.013,0.002,-0.01,-0.015
4,0.005,-0.015,-0.013,-0.008,0,-0.015
4.01,-0.015,-0.025,-0.013,0.002,0,-0.015
4.02,-0.005,-0.025,-0.013,-0.008,-0.01,-0.015
4.03,-0.015,-0.025,-0.013,0.002,-0.01,-0.005
4.04,0.005,-0.025,-0.013,-0.008,-0.01,-0.005
4.05,-0.005,-0.035,-0.013,0.002,0,-0.005
4.06,0.005,-0.015,-0.003,0.002,0,-0.015
4.07,-0.005,-0.025,-0.013,0.002,0,-0.005
4.08,-0.005,-0.025,-0.013,0.002,0,-0.015
4.09,-0.005,-0.025,-0.003,0.002,0,-0.005
4.1,-0.005,-0.015,-0.013,0.002,0,-0.005
4.11,-0.015,-0.035,-0.013,0.002,0,-0.005
4.12,-0.005,-0.015,-0.013,-0.008,-0.01,-0.015
4.13,-0.015,-0.025,-0.013,0.002,0,-0.005
4.14,0.005,-0.015,-0.013,0.002,0,-0.015
4.15,-0.005,-0.025,-0.013,0.002,0,-0.005
4.16,0.015,-0.025,-0.013,0.002,0,-0.005
4.17,-0.005,-0.025,-0.013,0.002,0,-0.005
4.18,0.005,-0.025,-0.003,0.002,-0.01,-0.005
4.19,-0.005,-0.035,-0.013,0.002,0,-0.005
4.2,0.005,-0.025,-0.013,0.002,-0.01,-0.005
4.21,-0.015,-0.035,-0.013,0.002,0,-0.005
4.22,-0.005,-0.025,-0.003,0.002,0,-0.005
4.23,-0.015,-0.025,-0.013,0.002,0,-0.005
4.24,-0.005,-0.025,-0.013,0.002,0,-0.005
4.25,-0.015,-0.035,-0.013,0.002,0,-0.005
4.26,-0.005,-0.025,-0.013,0.002,0,-0.005
4.27,-0.025,-0.035,-0.013,0.002,0,-0.005
4.28,-0.015,-0.025,-0.013,0.002,0,-0.015
4.29,-0.015,-0.025,-0.013,0.002,0,-0.015
4.3,-0.005,-0.015,-0.013,-0.008,0,-0.015
4.31,-0.015,-0.025,-0.013,0.002,0,-0.005
4.32,-0.005,-0.025,-0.013,-0.008,-0.01,-0.005
4.33,-0.005,-0.035,-0.013,0.002,0,-0.005
4.34,-0.005,-0.025,-0.003,0.002,-0.01,-0.005
4.35,-0.005,-0.035,-0.013,0.002,0,-0.005
4.36,0.005,-0.025,-0.013,-0.008,-0.01,-0.005
4.37,-0.005,-0.035,-0.013,0.002,-0.01,-0.005
4.38,0.005,-0.025,-0.013,0.002,-0.01,-0.005
4.39,-0.005,-0.025,-0.013,0.002,0,-0.005
4.4,0.005,-0.025,-0.013,-0.008,0,-0.005
4.41,-0.015,-0.035,-0.013,0.002,0,-0.005
4.42,0.005,-0.025,-0.003,-0.008,0,-0.005
4.43,-0.015,-0.035,-0.013,-0.008,0,-0.005
4.44,-0.005,-0.025,-0.003,0.002,-0.01,-0.015
4.45,-0.005,-0.035,-0.013,0.002,0,-0.005
4.46,0.005,-0.025,-0.003,-0.008,0,-0.015
4.47,-0.005,-0.025,-0.013,0.002,0,-0.015
4.48,0.005,-0.025,-0.013,-0.008,0,-0.015
4.49,-0.005,-0.025,-0.013,0.002,0,-0.005
4.5,0.005,-0.025,-0.003,0.002,-0.01,-0.005
4.51,-0.005,-0.035,-0.013,0.002,-0.01,-0.005
4.52,0.005,-0.025,-0.013,-0.008,-0.01,-0.005
