# gauge_id= 1 location=( -0.8940740833E+02  0.2893238167E+02 ) num_var=  7
# Stationary gauge
# level, time, q[  1  2  3], eta, aux[  5  6  7]
# file format ascii, time series follow in this file
   01 -0.8356959E+05  0.4365813E+02  0.7186452E+00 -0.1137418E+01 -0.6983570E-01 -0.5153199E+01 -0.3746789E+01  0.1008698E+06
   01 -0.8349309E+05  0.4365977E+02  0.6735483E+00 -0.1062821E+01 -0.6819456E-01 -0.5168580E+01 -0.3756764E+01  0.1008687E+06
   01 -0.8341660E+05  0.4366301E+02  0.5985475E+00 -0.9599399E+00 -0.6495527E-01 -0.5183961E+01 -0.3766739E+01  0.1008675E+06
   01 -0.8334010E+05  0.4366752E+02  0.4990492E+00 -0.8359895E+00 -0.6044479E-01 -0.5199343E+01 -0.3776715E+01  0.1008664E+06
   01 -0.8326360E+05  0.4367338E+02  0.3806639E+00 -0.6871005E+00 -0.5457989E-01 -0.5214724E+01 -0.3786690E+01  0.1008653E+06
   01 -0.8318711E+05  0.4368060E+02  0.2505190E+00 -0.5100056E+00 -0.4736596E-01 -0.5230105E+01 -0.3796665E+01  0.1008642E+06
   01 -0.8311061E+05  0.4368865E+02  0.1056416E+00 -0.3308188E+00 -0.3931045E-01 -0.5245487E+01 -0.3806640E+01  0.1008630E+06
   01 -0.8303411E+05  0.4369674E+02 -0.3784642E-01 -0.1642271E+00 -0.3122570E-01 -0.5260868E+01 -0.3816616E+01  0.1008619E+06
   01 -0.8295762E+05  0.4370450E+02 -0.1626560E+00 -0.8972494E-02 -0.2346542E-01 -0.5276249E+01 -0.3826591E+01  0.1008608E+06
   01 -0.8288112E+05  0.4371166E+02 -0.2679908E+00  0.1327517E+00 -0.1630397E-01 -0.5291631E+01 -0.3836566E+01  0.1008597E+06
   01 -0.8280462E+05  0.4371808E+02 -0.3560191E+00  0.2581793E+00 -0.9877002E-02 -0.5307012E+01 -0.3846541E+01  0.1008586E+06
   01 -0.8272812E+05  0.4372360E+02 -0.4301997E+00  0.3625821E+00 -0.4364577E-02 -0.5322393E+01 -0.3856517E+01  0.1008574E+06
   01 -0.8265163E+05  0.4372830E+02 -0.4934449E+00  0.4487415E+00  0.3383530E-03 -0.5337774E+01 -0.3866492E+01  0.1008563E+06
   01 -0.8257513E+05  0.4373227E+02 -0.5467094E+00  0.5193343E+00  0.4307014E-02 -0.5353156E+01 -0.3876467E+01  0.1008552E+06
   01 -0.8249863E+05  0.4373564E+02 -0.5884431E+00  0.5766537E+00  0.7678086E-02 -0.5368537E+01 -0.3886442E+01  0.1008541E+06
   01 -0.8242214E+05  0.4373838E+02 -0.6191850E+00  0.6194425E+00  0.1041813E-01 -0.5383918E+01 -0.3896417E+01  0.1008529E+06
   01 -0.8234564E+05  0.4374054E+02 -0.6406035E+00  0.6497665E+00  0.1258207E-01 -0.5399300E+01 -0.3906393E+01  0.1008518E+06
   01 -0.8226914E+05  0.4374249E+02 -0.6552764E+00  0.6755533E+00  0.1452933E-01 -0.5414681E+01 -0.3916368E+01  0.1008507E+06
   01 -0.8219264E+05  0.4374421E+02 -0.6654921E+00  0.6945389E+00  0.1624964E-01 -0.5430062E+01 -0.3926343E+01  0.1008496E+06
   01 -0.8211615E+05  0.4374578E+02 -0.6735510E+00  0.7083806E+00  0.1781386E-01 -0.5445444E+01 -0.3936318E+01  0.1008484E+06
   01 -0.8203965E+05  0.4374723E+02 -0.6808417E+00  0.7179365E+00  0.1927127E-01 -0.5460825E+01 -0.3946294E+01  0.1008473E+06
   01 -0.8196315E+05  0.4374861E+02 -0.6882584E+00  0.7239804E+00  0.2065284E-01 -0.5476206E+01 -0.3956269E+01  0.1008462E+06
   01 -0.8188666E+05  0.4374992E+02 -0.6955328E+00  0.7276499E+00  0.2195971E-01 -0.5491588E+01 -0.3966244E+01  0.1008451E+06
   01 -0.8181016E+05  0.4375119E+02 -0.7041801E+00  0.7303160E+00  0.2322499E-01 -0.5506969E+01 -0.3976219E+01  0.1008440E+06
   01 -0.8173366E+05  0.4375247E+02 -0.7150865E+00  0.7329586E+00  0.2450446E-01 -0.5522350E+01 -0.3986195E+01  0.1008428E+06
   01 -0.8165716E+05  0.4375384E+02 -0.7277292E+00  0.7365611E+00  0.2588263E-01 -0.5537732E+01 -0.3996170E+01  0.1008417E+06
   01 -0.8158067E+05  0.4375536E+02 -0.7418828E+00  0.7417579E+00  0.2739797E-01 -0.5553113E+01 -0.4006145E+01  0.1008406E+06
   01 -0.8150417E+05  0.4375703E+02 -0.7573663E+00  0.7488805E+00  0.2906355E-01 -0.5568494E+01 -0.4016120E+01  0.1008395E+06
   01 -0.8142767E+05  0.4375885E+02 -0.7740797E+00  0.7580255E+00  0.3088741E-01 -0.5583876E+01 -0.4026096E+01  0.1008383E+06
   01 -0.8135118E+05  0.4376083E+02 -0.7927149E+00  0.7687011E+00  0.3286366E-01 -0.5599257E+01 -0.4036071E+01  0.1008372E+06
   01 -0.8127468E+05  0.4376297E+02 -0.8130647E+00  0.7803794E+00  0.3500735E-01 -0.5614638E+01 -0.4046046E+01  0.1008361E+06
   01 -0.8119818E+05  0.4376524E+02 -0.8340059E+00  0.7929168E+00  0.3727363E-01 -0.5630020E+01 -0.4056021E+01  0.1008350E+06
